Country,Russian Federation,United States,Ukraine,France,Germany,Uzbekistan,Spain,Kazakhstan,Greece,Belgium,Belarus,Czech Republic,Azerbaijan,Austria,Canada,Moldova,Sweden,Turkmenistan,"Iran, Islamic Rep.",Kyrgyz Republic,Poland,Georgia,Bulgaria,Cyprus,Australia,Turkey,Italy,Latvia,Argentina,Netherlands,Switzerland,Lithuania,Denmark,Estonia,Norway,world
2010,567,110,51,19,21,0,16,8,11,2,7,1,43,1,3,0,1,7,1,0,2,17,0,1,2,1,1,4,,3,1,,1,,,998
2011,739,141,67,24,27,0,20,10,14,2,9,1,56,1,4,0,2,9,2,0,3,22,0,2,2,1,1,5,0,3,1,1,1,,,"1,295"
2012,827,158,75,27,30,0,23,11,15,2,10,2,62,1,5,0,2,11,2,0,3,24,0,2,2,1,1,5,0,4,1,1,1,,,"1,449"
2013,"1,402",302,119,53,44,40,30,23,22,19,15,13,10,9,8,7,7,7,6,6,6,5,4,4,4,3,3,3,2,2,2,2,2,2,1,"2,192"
2014,"1,334",285,112,50,41,38,28,22,21,18,14,10,9,9,8,7,7,6,6,6,6,5,4,4,4,3,3,2,2,2,2,2,2,2,1,"2,079"
2015,949,207,81,36,30,27,21,16,15,13,10,9,7,6,6,5,5,5,4,4,4,4,3,3,3,2,2,2,2,2,2,2,1,1,1,"1,491"
2016,879,191,75,34,28,25,19,15,14,12,10,9,6,6,5,5,5,4,4,4,4,3,3,3,2,2,2,2,2,2,2,1,1,1,1,"1,382"
