Year,rem_l_m,fdi_l_m,od_l_m,rem_h,fdi_h,od_h,rem_w,fdi_w,od_w
1970,0.284759995,1.598238988,6.20718,1.644521484,8.574189402,0.62872,1.929281478,10.17242839,6.81676
1971,0.315897541,1.625750163,7.06852,2.155367565,10.18639505,0.69285,2.471265106,11.81214521,7.72345
1972,0.348440035,0.972512084,7.44422,2.658606069,11.23124661,0.79927,3.007046104,12.20375869,8.19892
1973,0.376562895,2.284206064,10.0811,2.851601021,14.69935305,0.8436,3.228163916,16.98355911,10.86316
1974,1.90176034,3.057258212,13.72078,2.648670928,17.0918973,0.91484,4.550431268,20.14915551,14.59187
1975,3.306423193,4.86656194,17.41994,6.896448116,18.28638068,1.36971,10.20287131,23.15294262,18.74518
1976,4.321949137,3.649654965,16.50347,7.409949937,14.80116593,1.59918,11.73189907,18.4508209,18.07258
1977,7.120973661,4.602920102,16.93375,10.48221902,20.63923459,2.00944,17.60319268,25.24215469,18.9155
1978,9.977115063,6.006220186,23.63809,13.36573935,25.73638396,1.74117,23.34285441,31.74260414,25.36587
1979,12.99611528,7.249034502,26.3971,16.3155767,33.22796517,2.32296,29.31169198,40.47699967,28.67056
1980,17.76400762,7.551261091,32.29738,19.25246559,43.9122552,2.21515,37.0164732,51.4635163,34.47787
1981,18.00349892,12.35177078,30.96984,17.91346697,53.90967289,2.29853,35.91696589,66.26144367,33.21105
1982,19.44497907,10.69442479,28.33158,17.51080449,43.0965264,1.95068,36.95578356,53.79095119,30.24017
1983,20.99870475,9.348378427,26.65865,16.48809071,38.19241339,2.45828,37.48679546,47.54079181,29.06046
1984,20.29096709,9.025727977,27.96479,15.91340377,48.48741267,2.29662,36.20437086,57.51314065,30.19885
1985,19.52053112,11.52502732,29.30696,15.9314604,44.30629519,2.92,35.45199152,55.83132251,32.1768
1986,19.87457869,9.150931545,34.50802,21.77110688,75.41156859,3.18546,41.64568557,84.56250014,37.59168
1987,22.77509055,9.281071655,39.00411,27.43882487,118.9462332,2.57123,50.21391542,128.2273048,41.45768
1988,22.77366759,16.84872632,42.27873,31.28782458,136.4211141,2.38546,54.06149217,153.2698405,44.4889
1989,24.72082669,20.963809,43.8531,33.02252284,168.1375982,2.5035,57.74334953,189.1014072,46.0861
1990,28.94935265,20.90187531,56.50857,38.92074715,175.4129676,4.25805,67.8700998,196.3148429,60.2675
1991,31.87133785,29.82462916,61.83196,40.19742971,117.1838779,6.60187,72.06876757,147.008507,67.56833
1992,37.35338181,42.39412606,61.27796,42.83090673,110.854063,5.52237,80.18428854,153.2481891,64.5674
1993,39.50865715,61.53916388,57.56654,40.93907611,150.2084934,4.47299,80.44773326,211.7476573,59.35258
1994,48.53344116,81.61799265,61.84077,42.29508684,160.2384973,5.23186,90.828528,241.85649,65.05276
1995,50.57742736,91.80937785,61.71266,43.84753662,228.0910173,6.19597,94.42496398,319.9003951,65.80541
1996,53.9489211,113.6866454,56.34056,43.77842971,249.8889286,5.75928,97.7273508,363.575574,60.52737
1997,64.46226832,151.0547455,50.85871,47.36609474,310.2136083,4.08303,111.8283631,461.2683538,53.92739
1998,63.00709231,151.6191547,53.91993,48.56157215,527.6885334,5.16464,111.5686645,679.3076881,57.77354
1999,67.39148683,154.8181179,56.57031,47.42033446,807.0802384,4.5396,114.8118213,961.8983564,59.04303
2000,75.05485496,148.2502843,53.39434,46.55625087,1312.744178,4.52242,121.6111058,1460.994463,56.22411
2001,83.73874607,160.519658,54.90603,48.26605327,635.7538626,3.50298,132.0047993,796.2735205,57.1193
2002,99.41045257,155.2705902,64.73055,53.36297109,588.870088,3.67748,152.7734237,744.1406782,66.97677
2003,124.2339968,164.6810735,74.52456,63.83191594,546.0751278,4.09594,188.0659127,710.7562014,77.1855
2004,142.2694172,219.3784686,83.4494,75.09755985,789.8667418,5.03091,217.366977,1009.24521,87.02171
2005,174.2245124,304.7679657,107.9166,79.96151414,1238.449067,0.42677,254.1860265,1543.217033,108.2001
2006,205.119619,399.1077897,106.4804,89.01041699,1747.42719,0.4615,294.130036,2146.53498,106.7738
2007,247.1317248,553.1098988,107.0364,104.4980014,2545.958991,0.49649,351.6297262,3099.06889,107.3736
2008,286.3263558,635.8658869,126.681,119.73589,1815.333486,0.56748,406.0622458,2451.199373,127.0678
2009,275.3615374,432.2831437,126.1405,112.6068331,932.5191065,0.52618,387.9683706,1364.80225,126.4936
2010,303.5898958,624.0677092,130.3852,114.1092167,1236.201723,0.54493,417.6991125,1860.269432,130.7483
2011,341.1905874,737.4127036,141.4908,127.2927966,1545.349776,0.26509,468.483384,2282.76248,141.6109
2012,368.0818596,670.5765639,133.4473,125.5787139,1444.254523,0.22351,493.6605735,2114.831087,133.4422
2013,388.2459194,750.4483582,150.9774,134.4658846,1377.412295,0.1884,522.711804,2127.860654,151.0932
2014,413.7446897,678.9414116,161.3466,139.8542223,1112.300685,0.35031,553.5989119,1791.242097,161.605
2015,424.9547268,643.9296507,152.4413,129.0204661,1700.116231,0.08519,553.9751928,2344.045882,152.5127
2016,406.679635,571.5347085,,130.309346,1728.729632,,536.988981,2300.264341,
