country,Rem,FDI,ODA
Armenia,21%,45%,38%
Azerbaijan,32%,33%,141%
Belarus,36%,143%,20%
Kazakhstan,31%,68%,30%
Kyrgyz Republic,30%,94%,19%
Moldova,21%,52%,41%
Russian Federation,14%,128%,
Tajikistan,34%,139%,19%
Turkmenistan,49%,81%,49%
Ukraine,27%,96%,29%
Uzbekistan,46%,109%,14%
