Country Name,2008,2009,2010,2011,2012,2013,2014,2015,2016
High income,119.73589,112.6068331,114.1092167,127.2927966,125.5787139,134.4658846,139.8542223,129.0204661,130.309346
Low income,9.009973257,10.10911535,11.88178901,14.31842016,15.9577798,17.07317887,19.09668445,19.61539407,19.91970712
Lower middle income,181.8274245,176.5651792,198.1033769,224.6045934,250.4433069,261.8258039,270.8740805,268.2114364,255.7612783
Upper middle income,95.4889581,88.68724287,93.60472994,102.2675738,101.6807729,109.3469366,123.7739247,137.1278964,130.9986496
