Destination country ,Armenia_migrants
Russian Federation,"510,640"
United States,"92,671"
Ukraine,"49,862"
France,"17,598"
Uzbekistan,"16,867"
Germany,"14,048"
Spain,"10,350"
Kazakhstan,"8,416"
Greece,"7,779"
Belgium,"6,112"
Belarus,"5,762"
Czech Republic,"4,694"
Azerbaijan,"3,729"
Moldova,"3,103"
Austria,"2,975"
Canada,"2,675"
Kyrgyz Republic,"2,644"
Turkmenistan,"2,609"
"Iran, Islamic Rep.","2,469"
Sweden,"2,294"
Poland,"2,256"
Georgia,"2,227"
Bulgaria,"1,551"
Cyprus,"1,383"
Australia,"1,253"
Turkey,"1,178"
Italy,"1,008"
